route,training_seed,sampling_seed,sequence_id,track,score,wrong_track_score,margin,preference_accuracy
FD-DF-L-AM-FHC,1234,3456,4c178f413740a16b7bf14421a443f91a891a898a82f75b0028bf522d25a27cdd,008_retarget,0.2128586751502993,0.01718615448182485,0.19567252066847446,81.42857142857143
FD-DF-L-AM-FHC,1234,3456,7283ade72c8d1d42c7874520be9550091334326be6c22f9d50d42b26d513b3b0,184_retarget,0.022296016326067588,0.023404797659641048,-0.0011087813335734632,51.24999999999999
FD-DF-L-AM-FHC,1234,3456,84639b8ed1c96f2332abff174c0be805fa61805cd155e5e2830f72989e382bbb,051_retarget,0.12672794636404172,0.015426878575807424,0.1113010677882343,72.5
FD-DF-L-AM-FHC,1234,3456,8f503037c65963ac46ff60251305ce2ae46c27dd542a02536bc43b7c85f98e3e,211_retarget,0.043112663918194016,0.029958849105230983,0.013153814812963037,52.5
FD-DF-L-AM-FHC,1234,3456,9045b0021bf6f3105232b222563c8423a77af2b093cb05686fb23752a1758b29,007_retarget,0.21306851387692996,0.027098870256110325,0.18596964362081964,82.85714285714286
FD-DF-L-AM-FHC,1234,3456,bd1420c895b88f8b02fbf96f51a0a6acc520370b8a99b158c63da0341dc856e1,019_retarget,0.3471782962259331,0.03598739717967841,0.31119089904625474,95.53571428571429
FD-DF-L-AM-FHC,1234,3456,efcbe1a6086031ca8f1e75b9218d8bc695bae568557c5eafb0a4c1faffdc6217,012_retarget,0.09563543933730013,0.03740593176852595,0.05822950756877417,61.60714285714286
FD-DF-L-AM-FHC,2345,1234,04e67b4a773c81c14c482cdc970930ffd5b6f24c31b909ebb92b6c6b2d8b3148,071_retarget,0.2334234840329889,0.040096954995479654,0.19332652903750924,77.67857142857143
FD-DF-L-AM-FHC,2345,1234,079b368d20901c972c416fe1632d77f36f478a2b5320b1888dc02a343d912343,014_retarget,0.4026595699117252,0.04587371630558366,0.3567858536061415,91.60714285714285
FD-DF-L-AM-FHC,2345,1234,19249d94dc1ae98405e014eed71cd8f28f9a8f33f8253b4b68b2dab456fd39ab,162_retarget,0.27462773213194314,0.054552292201958244,0.2200754399299849,84.46428571428571
FD-DF-L-AM-FHC,2345,1234,21e1e00d1bceccdb45cf8c68019db42e5eab7b97889b3139a9ad915120295043,100_retarget,0.4100332352263866,0.014000566211003622,0.396032669015383,95.17857142857142
FD-DF-L-AM-FHC,2345,1234,4c178f413740a16b7bf14421a443f91a891a898a82f75b0028bf522d25a27cdd,008_retarget,0.2078522310420712,0.022256552436015785,0.18559567860605544,78.75
FD-DF-L-AM-FHC,2345,1234,7283ade72c8d1d42c7874520be9550091334326be6c22f9d50d42b26d513b3b0,184_retarget,0.05165835913186619,0.037414060025195275,0.014244299106670927,49.642857142857146
FD-DF-L-AM-FHC,2345,1234,84639b8ed1c96f2332abff174c0be805fa61805cd155e5e2830f72989e382bbb,051_retarget,0.03533530677653774,0.06195366214483161,-0.026618355368293864,41.785714285714285
FD-DF-L-AM-FHC,2345,1234,8f503037c65963ac46ff60251305ce2ae46c27dd542a02536bc43b7c85f98e3e,211_retarget,0.08075805341761158,0.025653881767157622,0.055104171650453955,61.964285714285715
FD-DF-L-AM-FHC,2345,1234,9045b0021bf6f3105232b222563c8423a77af2b093cb05686fb23752a1758b29,007_retarget,0.18853504982024533,0.0195804996558442,0.16895455016440114,81.42857142857143
FD-DF-L-AM-FHC,2345,1234,bd1420c895b88f8b02fbf96f51a0a6acc520370b8a99b158c63da0341dc856e1,019_retarget,0.27475486239942554,0.025597025524661605,0.24915783687476392,91.07142857142857
FD-DF-L-AM-FHC,2345,1234,efcbe1a6086031ca8f1e75b9218d8bc695bae568557c5eafb0a4c1faffdc6217,012_retarget,-0.002798006317147831,0.024191183323510047,-0.026989189640657874,42.67857142857142
FD-DF-L-AM-FHC,2345,2345,04e67b4a773c81c14c482cdc970930ffd5b6f24c31b909ebb92b6c6b2d8b3148,071_retarget,0.2024098643429943,0.04103590953882917,0.1613739548041651,70.53571428571429
FD-DF-L-AM-FHC,2345,2345,079b368d20901c972c416fe1632d77f36f478a2b5320b1888dc02a343d912343,014_retarget,0.4273562045704043,0.04616372335372933,0.3811924812166749,92.5
FD-DF-L-AM-FHC,2345,2345,19249d94dc1ae98405e014eed71cd8f28f9a8f33f8253b4b68b2dab456fd39ab,162_retarget,0.3370780722607765,0.05120522050392384,0.2858728517568527,89.28571428571429
FD-DF-L-AM-FHC,2345,2345,21e1e00d1bceccdb45cf8c68019db42e5eab7b97889b3139a9ad915120295043,100_retarget,0.424605024952731,0.005620354790222793,0.41898467016250823,94.64285714285714
FD-DF-L-AM-FHC,2345,2345,4c178f413740a16b7bf14421a443f91a891a898a82f75b0028bf522d25a27cdd,008_retarget,0.3228447337294017,0.0007136372436869662,0.3221310964857148,95.35714285714286
FD-DF-L-AM-FHC,2345,2345,7283ade72c8d1d42c7874520be9550091334326be6c22f9d50d42b26d513b3b0,184_retarget,0.08210573220323762,0.0500144976875866,0.03209123451565103,57.85714285714286
FD-DF-L-AM-FHC,2345,2345,84639b8ed1c96f2332abff174c0be805fa61805cd155e5e2830f72989e382bbb,051_retarget,0.041688854266645016,0.03278582336801844,0.008903030898626572,52.142857142857146
FD-DF-L-AM-FHC,2345,2345,8f503037c65963ac46ff60251305ce2ae46c27dd542a02536bc43b7c85f98e3e,211_retarget,0.1530618588002501,0.0528758931540194,0.10018596564623071,70.17857142857142
FD-DF-L-AM-FHC,2345,2345,9045b0021bf6f3105232b222563c8423a77af2b093cb05686fb23752a1758b29,007_retarget,0.14348274878199566,0.04201340149836717,0.10146934728362848,67.32142857142858
FD-DF-L-AM-FHC,2345,2345,bd1420c895b88f8b02fbf96f51a0a6acc520370b8a99b158c63da0341dc856e1,019_retarget,0.43577430630244834,0.05218123153155683,0.3835930747708915,97.14285714285714
FD-DF-L-AM-FHC,2345,2345,efcbe1a6086031ca8f1e75b9218d8bc695bae568557c5eafb0a4c1faffdc6217,012_retarget,-0.02461266354063588,0.008341607954330246,-0.03295427149496613,43.214285714285715
FD-DF-L-AM-FHC,2345,3456,04e67b4a773c81c14c482cdc970930ffd5b6f24c31b909ebb92b6c6b2d8b3148,071_retarget,0.1791373967409001,0.0527166453486543,0.1264207513922458,75.89285714285714
FD-DF-L-AM-FHC,2345,3456,079b368d20901c972c416fe1632d77f36f478a2b5320b1888dc02a343d912343,014_retarget,0.42174092265824054,0.05748254409824613,0.36425837855999443,94.82142857142857
FD-DF-L-AM-FHC,2345,3456,19249d94dc1ae98405e014eed71cd8f28f9a8f33f8253b4b68b2dab456fd39ab,162_retarget,0.18727168317525203,0.03892395671086129,0.1483477264643907,75.35714285714286
FD-DF-L-AM-FHC,2345,3456,21e1e00d1bceccdb45cf8c68019db42e5eab7b97889b3139a9ad915120295043,100_retarget,0.37432425250596146,-0.005376023051498925,0.37970027555746033,95.89285714285715
FD-DF-L-AM-FHC,2345,3456,4c178f413740a16b7bf14421a443f91a891a898a82f75b0028bf522d25a27cdd,008_retarget,0.28046142205170804,0.048368082803531616,0.23209333924817643,77.85714285714286
